2025-01-10T14:11:39.744Z | direct | GET /arcade_assets/dodge_star/assets/spritesheet_players.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:13:18.701Z | direct | GET / | 301 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:18.907Z | direct | GET / | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:18.972Z | direct | GET /_app/immutable/assets/3.a1ZdgpqC.css | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:19.023Z | direct | GET /_app/immutable/entry/app.mRLwFkA-.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:19.080Z | direct | GET /_app/immutable/chunks/preload-helper.0HuHagjb.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:19.080Z | direct | GET /_app/immutable/chunks/scheduler.A9-JF3B6.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:19.081Z | direct | GET /_app/immutable/assets/TopNavBar.OtqbmC2b.css | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:19.083Z | direct | GET /_app/immutable/chunks/entry.vJOPEv_9.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:19.084Z | direct | GET /_app/immutable/entry/start.-BiKTSLo.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:19.084Z | direct | GET /_app/immutable/assets/8.ACamwq5r.css | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
